Sno.,Category ,State/UT ,Illegal Gain ,Revenge ,Insult to Modesty of Women ,Extortion/ Blackmailing ,Sexual Exploitation,Causing Disrepute ,Inciting Hate Crimes against Community ,Developing own Business/ Interest,Prank / Satisfaction of Gaining Control ,Political Motives ,Disrupt Public Services,Piracy ,Steal Information for Espionage ,Sale/ Purchase of Illegal Drugs/ Other Items ,"Serious Psychiatric Illness viz. Perversion, etc.",Inciting Hate Crimes against Country ,Others 
0,State,Andhra Pradesh,327,6,84,7,7,0,2,3,0,0,0,0,0,1,0,0,179
1,State,Arunachal Pradesh,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,State,Assam,156,329,3,59,41,35,5,0,1,10,0,0,0,0,0,0,57
3,State,Bihar,198,91,0,1,6,0,0,3,0,3,0,0,0,1,0,0,6
4,State,Chhattisgarh,4,19,9,1,11,12,0,2,1,1,0,0,0,0,0,0,30
5,State,Goa,20,0,0,2,0,1,0,1,3,0,3,0,0,0,0,0,1
6,State,Gujarat,237,4,0,3,28,44,11,8,1,0,0,0,0,4,0,0,22
7,State,Haryana,196,6,16,19,10,1,0,16,0,0,0,0,0,0,0,0,137
8,State,Himachal Pradesh,2,1,3,9,0,0,0,8,0,0,0,0,0,0,0,0,8
9,State,Jammu & Kashmir,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,17
10,State,Jharkhand,183,0,0,58,0,0,0,17,0,0,1,0,0,0,0,0,0
11,State,Karnataka,718,47,41,76,41,11,15,12,2,6,9,2,11,2,0,2,106
12,State,Kerala,114,29,28,9,29,12,0,3,0,6,1,9,2,0,1,1,39
13,State,Madhya Pradesh,29,5,18,5,8,85,10,3,5,0,0,0,0,0,0,0,90
14,State,Maharashtra,1082,45,372,46,144,31,28,6,5,2,10,3,5,2,6,0,593
15,State,Manipur,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
16,State,Meghalaya,14,3,3,3,1,4,0,0,0,1,0,0,0,3,0,0,7
17,State,Mizoram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Nagaland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Odisha,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,288
20,State,Punjab,24,8,5,11,14,3,0,0,1,0,1,5,0,1,0,0,29
21,State,Rajasthan,263,53,5,32,14,21,8,0,2,0,0,1,0,0,0,0,542
22,State,Sikkim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,State,Tamil Nadu,65,16,2,5,22,7,10,4,0,2,4,0,0,0,0,0,7
24,State,Telangana,267,217,5,28,21,0,1,6,0,0,2,1,0,0,0,0,45
25,State,Tripura,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,1850,85,13,144,138,177,59,39,97,4,2,0,0,0,2,0,29
27,State,Uttarakhand,14,21,1,8,1,0,0,0,0,0,0,1,0,0,0,0,16
28,State,West Bengal,136,57,55,42,23,3,0,10,1,2,0,1,0,0,0,0,148
29,UT,A & N Islands,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Chandigarh,3,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,16
31,UT,D&N Haveli,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Delhi,36,9,17,0,3,1,0,0,2,0,0,0,0,0,0,0,30
34,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,UT,Puducherry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
