State/UT ,Illegal Gain ,Revenge ,Insult to Modesty of Women ,Extortion/ Blackmailing ,Sexual Exploitation,Causing Disrepute ,Inciting Hate Crimes against Community ,Developing own Business/ Interest,Prank / Satisfaction of Gaining Control ,Political Motives ,Disrupt Public Services,Piracy ,Steal Information for Espionage ,Sale/ Purchase of Illegal Drugs/ Other Items ,"Serious Psychiatric Illness viz. Perversion, etc.",Inciting Hate Crimes against Country ,Others 
Andhra Pradesh,327,6,84,7,7,0,2,3,0,0,0,0,0,1,0,0,179
Arunachal Pradesh,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Assam,156,329,3,59,41,35,5,0,1,10,0,0,0,0,0,0,57
Bihar,198,91,0,1,6,0,0,3,0,3,0,0,0,1,0,0,6
Chhattisgarh,4,19,9,1,11,12,0,2,1,1,0,0,0,0,0,0,30
Goa,20,0,0,2,0,1,0,1,3,0,3,0,0,0,0,0,1
Gujarat,237,4,0,3,28,44,11,8,1,0,0,0,0,4,0,0,22
Haryana,196,6,16,19,10,1,0,16,0,0,0,0,0,0,0,0,137
Himachal Pradesh,2,1,3,9,0,0,0,8,0,0,0,0,0,0,0,0,8
Jammu & Kashmir,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,17
Jharkhand,183,0,0,58,0,0,0,17,0,0,1,0,0,0,0,0,0
Karnataka,718,47,41,76,41,11,15,12,2,6,9,2,11,2,0,2,106
Kerala,114,29,28,9,29,12,0,3,0,6,1,9,2,0,1,1,39
Madhya Pradesh,29,5,18,5,8,85,10,3,5,0,0,0,0,0,0,0,90
Maharashtra,1082,45,372,46,144,31,28,6,5,2,10,3,5,2,6,0,593
Manipur,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Meghalaya,14,3,3,3,1,4,0,0,0,1,0,0,0,3,0,0,7
Mizoram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,288
Punjab,24,8,5,11,14,3,0,0,1,0,1,5,0,1,0,0,29
Rajasthan,263,53,5,32,14,21,8,0,2,0,0,1,0,0,0,0,542
Sikkim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tamil Nadu,65,16,2,5,22,7,10,4,0,2,4,0,0,0,0,0,7
Telangana,267,217,5,28,21,0,1,6,0,0,2,1,0,0,0,0,45
Tripura,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,1850,85,13,144,138,177,59,39,97,4,2,0,0,0,2,0,29
Uttarakhand,14,21,1,8,1,0,0,0,0,0,0,1,0,0,0,0,16
West Bengal,136,57,55,42,23,3,0,10,1,2,0,1,0,0,0,0,148
A & N Islands,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,3,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,16
D&N Haveli,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,36,9,17,0,3,1,0,0,2,0,0,0,0,0,0,0,30
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
